Serial_No,Group,Order,Colour_Trial_Test_1,Colour_Trial_Test_2
1,SG,pre,62,159
2,SG,pre,77,150
3,SG,pre,114,225
4,SG,pre,44,104
5,SG,pre,95,234
6,SG,pre,59,147
7,SG,pre,34,129
8,SG,pre,65,158
9,SG,pre,98,188
10,SG,pre,54,114
11,SG,pre,68,112
12,SG,pre,71,180
13,SG,pre,80,134
14,SG,pre,100,160
15,SG,pre,98,154
16,SG,pre,57,110
17,SG,pre,80,155
18,CG,pre,79,167
19,CG,pre,90,180
20,CG,pre,88,160
21,CG,pre,65,153
22,CG,pre,90,140
23,CG,pre,87,133
24,CG,pre,65,180
25,CG,pre,69,153
26,CG,pre,90,133
27,CG,pre,67,110
28,CG,pre,60,210
29,CG,pre,56,105
30,CG,pre,55,134
31,CG,pre,60,170
32,CG,pre,69,186
33,SG,post,50,120
34,SG,post,60,130
35,SG,post,110,180
36,SG,post,40,100
37,SG,post,90,180
38,SG,post,58,123
39,SG,post,40,97
40,SG,post,60,130
41,SG,post,90,150
42,SG,post,54,98
43,SG,post,60,107
44,SG,post,60,150
45,SG,post,60,110
46,SG,post,66,105
47,SG,post,60,110
48,SG,post,60,100
49,SG,post,50,120
50,CG,post,89,180
51,CG,post,90,190
52,CG,post,80,210
53,CG,post,99,180
54,CG,post,111,197
55,CG,post,90,179
56,CG,post,102,189
57,CG,post,122,142
58,CG,post,80,149
59,CG,post,98,100
60,CG,post,122,102
61,CG,post,50,90
62,CG,post,60,140
63,CG,post,167,190
64,CG,post,100,180
