Serial_No,Group,Order,Total_Number_of_Problems_Solved
1,SG,pre,8
2,SG,pre,9
3,SG,pre,7
4,SG,pre,11
5,SG,pre,10
6,SG,pre,8
7,SG,pre,8
8,SG,pre,7
9,SG,pre,6
10,SG,pre,7
11,SG,pre,11
12,SG,pre,10
13,SG,pre,8
14,SG,pre,12
15,SG,pre,7
16,SG,pre,9
17,SG,pre,11
18,CG,pre,10
19,CG,pre,8
20,CG,pre,8
21,CG,pre,7
22,CG,pre,6
23,CG,pre,7
24,CG,pre,11
25,CG,pre,10
26,CG,pre,8
27,CG,pre,12
28,CG,pre,7
29,CG,pre,9
30,CG,pre,11
31,CG,pre,8
32,CG,pre,11
33,SG,post,8
34,SG,post,12
35,SG,post,8
36,SG,post,10
37,SG,post,12
38,SG,post,9
39,SG,post,10
40,SG,post,8
41,SG,post,7
42,SG,post,7
43,SG,post,8
44,SG,post,9
45,SG,post,10
46,SG,post,11
47,SG,post,8
48,SG,post,10
49,SG,post,10
50,CG,post,5
51,CG,post,6
52,CG,post,6
53,CG,post,5
54,CG,post,6
55,CG,post,9
56,CG,post,9
57,CG,post,8
58,CG,post,8
59,CG,post,7
60,CG,post,6
61,CG,post,7
62,CG,post,9
63,CG,post,7
64,CG,post,8
