Rat_ID,Group,Intervention,Recording_Time_Point,Phase,Zeitgeber_Time,Sleep
1,VC,NPR,BL,LIGHT,1,2520
1,VC,NPR,BL,LIGHT,2,3180
1,VC,NPR,BL,LIGHT,3,3080
1,VC,NPR,BL,LIGHT,4,3080
1,VC,NPR,BL,LIGHT,5,2930
1,VC,NPR,BL,LIGHT,6,630
1,VC,NPR,BL,LIGHT,7,1290
1,VC,NPR,BL,LIGHT,8,2950
1,VC,NPR,BL,LIGHT,9,3020
1,VC,NPR,BL,LIGHT,10,2990
1,VC,NPR,BL,LIGHT,11,2240
1,VC,NPR,BL,LIGHT,12,2830
1,VC,NPR,BL,DARK,13,1850
1,VC,NPR,BL,DARK,14,1950
1,VC,NPR,BL,DARK,15,1750
1,VC,NPR,BL,DARK,16,1080
1,VC,NPR,BL,DARK,17,540
1,VC,NPR,BL,DARK,18,960
1,VC,NPR,BL,DARK,19,1580
1,VC,NPR,BL,DARK,20,2370
1,VC,NPR,BL,DARK,21,1330
1,VC,NPR,BL,DARK,22,180
1,VC,NPR,BL,DARK,23,1340
1,VC,NPR,BL,DARK,24,2690
2,VC,NPR,BL,LIGHT,1,3050
2,VC,NPR,BL,LIGHT,2,3130
2,VC,NPR,BL,LIGHT,3,2540
2,VC,NPR,BL,LIGHT,4,3320
2,VC,NPR,BL,LIGHT,5,990
2,VC,NPR,BL,LIGHT,6,3120
2,VC,NPR,BL,LIGHT,7,3190
2,VC,NPR,BL,LIGHT,8,3190
2,VC,NPR,BL,LIGHT,9,3120
2,VC,NPR,BL,LIGHT,10,3080
2,VC,NPR,BL,LIGHT,11,1640
2,VC,NPR,BL,LIGHT,12,3030
2,VC,NPR,BL,DARK,13,1560
2,VC,NPR,BL,DARK,14,2130
2,VC,NPR,BL,DARK,15,1720
2,VC,NPR,BL,DARK,16,800
2,VC,NPR,BL,DARK,17,2040
2,VC,NPR,BL,DARK,18,770
2,VC,NPR,BL,DARK,19,990
2,VC,NPR,BL,DARK,20,1940
2,VC,NPR,BL,DARK,21,1500
2,VC,NPR,BL,DARK,22,1210
2,VC,NPR,BL,DARK,23,1650
2,VC,NPR,BL,DARK,24,1240
3,VC,NPR,BL,LIGHT,1,2300
3,VC,NPR,BL,LIGHT,2,2340
3,VC,NPR,BL,LIGHT,3,1220
3,VC,NPR,BL,LIGHT,4,1890
3,VC,NPR,BL,LIGHT,5,1160
3,VC,NPR,BL,LIGHT,6,1480
3,VC,NPR,BL,LIGHT,7,850
3,VC,NPR,BL,LIGHT,8,2490
3,VC,NPR,BL,LIGHT,9,520
3,VC,NPR,BL,LIGHT,10,1400
3,VC,NPR,BL,LIGHT,11,2470
3,VC,NPR,BL,LIGHT,12,2360
3,VC,NPR,BL,DARK,13,2290
3,VC,NPR,BL,DARK,14,2710
3,VC,NPR,BL,DARK,15,1630
3,VC,NPR,BL,DARK,16,2430
3,VC,NPR,BL,DARK,17,1690
3,VC,NPR,BL,DARK,18,2820
3,VC,NPR,BL,DARK,19,2000
3,VC,NPR,BL,DARK,20,2100
3,VC,NPR,BL,DARK,21,2450
3,VC,NPR,BL,DARK,22,2540
3,VC,NPR,BL,DARK,23,1090
3,VC,NPR,BL,DARK,24,2370
4,VC,NPR,BL,LIGHT,1,2640
4,VC,NPR,BL,LIGHT,2,3240
4,VC,NPR,BL,LIGHT,3,3180
4,VC,NPR,BL,LIGHT,4,1410
4,VC,NPR,BL,LIGHT,5,2990
4,VC,NPR,BL,LIGHT,6,3080
4,VC,NPR,BL,LIGHT,7,2260
4,VC,NPR,BL,LIGHT,8,2980
4,VC,NPR,BL,LIGHT,9,3210
4,VC,NPR,BL,LIGHT,10,2960
4,VC,NPR,BL,LIGHT,11,1690
4,VC,NPR,BL,LIGHT,12,2920
4,VC,NPR,BL,DARK,13,740
4,VC,NPR,BL,DARK,14,1390
4,VC,NPR,BL,DARK,15,1290
4,VC,NPR,BL,DARK,16,1280
4,VC,NPR,BL,DARK,17,1450
4,VC,NPR,BL,DARK,18,1160
4,VC,NPR,BL,DARK,19,1370
4,VC,NPR,BL,DARK,20,2450
4,VC,NPR,BL,DARK,21,2700
4,VC,NPR,BL,DARK,22,1000
4,VC,NPR,BL,DARK,23,860
4,VC,NPR,BL,DARK,24,2150
5,VC,NPR,BL,LIGHT,1,3360
5,VC,NPR,BL,LIGHT,2,3360
5,VC,NPR,BL,LIGHT,3,3130
5,VC,NPR,BL,LIGHT,4,3120
5,VC,NPR,BL,LIGHT,5,3200
5,VC,NPR,BL,LIGHT,6,3390
5,VC,NPR,BL,LIGHT,7,2210
5,VC,NPR,BL,LIGHT,8,3330
5,VC,NPR,BL,LIGHT,9,3420
5,VC,NPR,BL,LIGHT,10,1860
5,VC,NPR,BL,LIGHT,11,3310
5,VC,NPR,BL,LIGHT,12,3230
5,VC,NPR,BL,DARK,13,730
5,VC,NPR,BL,DARK,14,1570
5,VC,NPR,BL,DARK,15,2650
5,VC,NPR,BL,DARK,16,1440
5,VC,NPR,BL,DARK,17,790
5,VC,NPR,BL,DARK,18,540
5,VC,NPR,BL,DARK,19,810
5,VC,NPR,BL,DARK,20,1040
5,VC,NPR,BL,DARK,21,720
5,VC,NPR,BL,DARK,22,0
5,VC,NPR,BL,DARK,23,980
5,VC,NPR,BL,DARK,24,1480
6,VC,NPR,BL,LIGHT,1,2350
6,VC,NPR,BL,LIGHT,2,3190
6,VC,NPR,BL,LIGHT,3,2690
6,VC,NPR,BL,LIGHT,4,3160
6,VC,NPR,BL,LIGHT,5,2990
6,VC,NPR,BL,LIGHT,6,2820
6,VC,NPR,BL,LIGHT,7,3430
6,VC,NPR,BL,LIGHT,8,3110
6,VC,NPR,BL,LIGHT,9,2480
6,VC,NPR,BL,LIGHT,10,3180
6,VC,NPR,BL,LIGHT,11,3100
6,VC,NPR,BL,LIGHT,12,1630
6,VC,NPR,BL,DARK,13,1080
6,VC,NPR,BL,DARK,14,1650
6,VC,NPR,BL,DARK,15,1290
6,VC,NPR,BL,DARK,16,730
