Time,fEPSP
0.5,0.979682033
0.5,1.069057105
0.5,1.026427962
0.5,0.989475968
0.5,0.917064164
0.5,0.882612533
0.5,1.05548854
0.5,0.968234353
1,1.009146154
1,1.019256308
1,1.004262575
1,0.824563307
1,1.064779197
1,0.8943807
1,1.07358263
1,1.017663735
1.5,0.97722669
1.5,1.019256308
1.5,1.024722933
1.5,1.045893458
1.5,0.935528543
1.5,1.017946455
1.5,1.004221954
1.5,0.968234353
2,0.996869437
2,1.022576361
2,1.014492754
2,0.920039058
2,0.972457301
2,1.023830538
2,1.019300362
2,1.008940903
2.5,0.999324781
2.5,1.019256308
2.5,1.080988917
2.5,0.846262341
2.5,1.064779197
2.5,0.947337452
2.5,1.025331725
2.5,1.026386567
3,0.967405316
3,1.045816733
3,1.021312873
3,1.019854616
3,1.009386059
3,0.864960282
3,0.992159228
3,1.04092462
3.5,0.972316003
3.5,1.055776892
3.5,1.019607843
3.5,0.898340024
3.5,0.886290198
3.5,1.041482789
3.5,0.952955368
3.5,0.968234353
4,1.009146154
4,1.032536521
4,1.029838022
4,1.01551481
4,1.003231266
4,1.017946455
4,1.043425814
4,0.99731046
4.5,1.014056841
4.5,1.04249668
4.5,1.036658142
4.5,0.867961376
4.5,0.92937375
4.5,0.935569285
4.5,1.004221954
4.5,0.962419132
5,1.021422872
5,0.959495352
5,1.005967604
5,1.050233265
5,0.978612094
5,1.041482789
5,1.040410133
5,0.968234353
5.5,1.021422872
5.5,1.035856574
5.5,0.992327366
5.5,1.080611913
5.5,1.046314818
5.5,0.888496617
5.5,1.019300362
5.5,1.017663735
6,1.021422872
6,1.019256308
6,1.011082694
6,1.115330368
6,0.917064164
6,0.859076199
6,1.064535585
6,0.968234353
